Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_01_01	R2A_R11G_P_C_A_40_01	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6968	41403	0	43818	38988	0	4830	18254	18051	0	203	41.66	46.3	NaN	4.2	12153	922841	34294	3.72	5410	15.78	113739	30141	29715	26.5	30.51	6807	22.58	+	0.35781	0.54271	0.22908	0.35736	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_01_02	R2A_R11G_P_C_A_40_01	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6689	42621	0	45481	39761	0	5720	18217	17985	0	232	40.05	45.23	NaN	4.06	10640	886121	34262	3.87	5785	16.88	110306	29567	29158	26.8	31.15	7187	24.31	+	0.36782	0.54137	0.23607	0.36418	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_01_03	R2A_R11G_P_C_A_40_01	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		7579	38782	0	41483	36081	0	5402	12294	12169	0	125	29.64	33.73	NaN	2.31	7196	891327	30761	3.45	5485	17.83	101501	26343	25954	25.95	30.36	6827	25.92	+	0.37479	0.52685	0.24054	0.35651	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_01_04	R2A_R11G_P_C_A_40_01	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		7523	39074	0	41923	36225	0	5698	10722	10598	0	124	25.58	29.26	NaN	2.18	6118	869014	30717	3.53	5644	18.37	97737	26274	25819	26.88	32.18	6918	26.33	+	0.36663	0.52792	0.23061	0.35277	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_02_01	R2A_R11G_P_C_A_40_02	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6558	43098	0	45430	40766	0	4664	21378	21112	0	266	47.06	51.79	NaN	5.7	14213	924142	35983	3.89	5511	15.32	119324	31694	31266	26.56	30.29	7001	22.09	+	0.37292	0.56189	0.23877	0.37293	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_02_02	R2A_R11G_P_C_A_40_02	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6642	42825	0	45639	40011	0	5628	18315	18084	0	231	40.13	45.2	NaN	4.1	10744	887526	34520	3.89	5721	16.57	112702	29847	29454	26.48	30.79	7120	23.85	+	0.3751	0.5539	0.23766	0.36545	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_02_03	R2A_R11G_P_C_A_40_02	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6750	42405	0	45689	39121	0	6568	16047	15793	0	254	35.12	40.37	NaN	3.87	9046	827394	33771	4.08	5778	17.11	104499	28605	28176	27.37	31.86	7183	25.11	+	0.39	0.56239	0.24991	0.37748	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_02_04	R2A_R11G_P_C_A_40_02	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		7407	39546	0	42636	36456	0	6180	10956	10825	0	131	25.7	29.69	NaN	2.12	6231	842562	31306	3.72	5523	17.64	96476	26437	26011	27.4	32.92	6882	26.03	+	0.37645	0.53783	0.23997	0.37096	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_03_01	R2A_R11G_P_C_A_40_03	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		7487	39028	0	40962	37094	0	3868	16068	15866	0	202	39.23	42.77	NaN	5.22	11030	981883	32391	3.3	5099	15.74	116594	28904	28538	24.79	28.86	6334	21.91	+	0.353	0.53813	0.22367	0.35141	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_03_02	R2A_R11G_P_C_A_40_03	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6688	42609	0	45885	39333	0	6552	17177	16979	0	198	37.43	43.17	NaN	3.02	9987	829432	34527	4.16	5517	15.98	107733	29456	29052	27.34	32.29	6926	23.51	+	0.36479	0.53282	0.23482	0.36368	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_03_03	R2A_R11G_P_C_A_40_03	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		7140	40662	0	44121	37203	0	6918	13470	13332	0	138	30.53	35.84	NaN	1.99	7689	854074	32493	3.8	5420	16.68	103601	27322	26904	26.37	31.4	6824	24.98	+	0.37477	0.53873	0.24217	0.36627	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_A_40_03_04	R2A_R11G_P_C_A_40_03	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		8772	33175	0	35326	31024	0	4302	8432	8329	0	103	23.87	26.85	NaN	2.39	5002	971442	26334	2.71	4786	18.17	98299	22975	22605	23.37	28.71	5799	25.24	+	0.34512	0.50009	0.22027	0.34468	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_01_01	R2A_R11G_P_C_T_40_01	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6265	44653	0	46535	42771	0	3764	31208	30624	0	584	67.06	71.6	NaN	15.52	19642	1008400	37548	3.72	5426	14.45	146755	34070	33732	23.22	25.69	6735	19.77	+	0.40818	0.60679	0.26794	0.41416	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_01_02	R2A_R11G_P_C_T_40_01	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6126	45727	0	48204	43250	0	4954	31438	30809	0	629	65.22	71.23	NaN	12.7	17170	990088	37313	3.77	5741	15.39	140092	33232	32882	23.72	26.18	7039	21.18	+	0.42626	0.61628	0.28268	0.42583	
