id_site,R2M_R11A_F_A_01,R2M_R11A_F_A_02,R2M_R11A_F_A_03,R2A_R11G_F_A_01,R2A_R11G_F_A_02,R2A_R11G_F_A_03,R2M_GFPA_C_A_01,R2M_GFPA_C_A_02,R2M_GFPA_C_A_03,R2A_R11G_C_A_01,R2A_R11G_C_A_02,R2A_R11G_C_A_03,R2M_GFPA_F_A_01,R2M_GFPA_F_A_02,R2M_GFPA_F_A_03,cl_name
HDLBP_S35,3.494549461936761,2.4789268193220257,4.562934584585567,3.8781613198725218,4.553605449922728,5.170343770518316,6.588107076107743,5.906561155919963,5.997116143596566,3.431562049743525,3.5455165763796943,4.965861173034188,4.975824323805304,0.9003761684596014,2.9517598952162554,RE_profile
BAT3_S1075,5.102044814264765,5.751584410395218,5.992075744035427,5.813366111208879,5.80065661252683,5.205652600469309,4.8402087135227525,1.7576023891328107,4.651201758152483,5.7695539757699414,4.915755275913451,5.639273916690117,-3.0950776331117495,1.657154849733831,4.7929327967017405,RE_profile
BCL2L12_S158,4.433171235919867,5.1441016315205665,4.393975911665832,5.71530607788115,5.495600629775966,5.371519824765554,5.458114729963755,5.61438600250521,5.194268942062423,5.611829147590463,1.4384455775064846,5.493399875877706,3.184511997334366,3.9901610766015523,2.9234292242499804,RE_profile
GRIPAP1_S647,6.404663941882364,6.435507812003484,6.41411541528811,6.733970117712222,6.972921729164249,6.637710974354647,6.691536475190596,6.505068462145118,-0.07486130423902182,5.1879151453116545,3.346004525067639,2.1331698286526044,2.9846425523386446,6.512751246423765,6.116432703506392,RE_profile
PTPDC1_S492,5.808818394487379,5.2592915909756455,5.993712975226736,4.589263423633037,4.75240024434549,3.855119988148075,5.959392440283584,6.0284477187644185,5.563190080698308,2.3519985505833034,0.696944920531569,5.184125716078644,2.2317654616846148,3.4166545577808023,4.598138292736155,RAB11_profile
ELF4_S188,5.6197757823313434,5.606316001807562,5.910544048251765,2.9859249956722556,4.41945014903442,5.1942254996441335,5.160652697923703,4.21408223506205,3.916313931970172,5.377175360242822,2.120401522480201,0.6228372820680734,2.7843745788734093,2.278757301606794,3.8357090737270836,RAB11_profile
TNFAIP3_S645,3.540369763238126,6.458752368889871,5.901053339551958,5.137343620301756,3.1143961967648837,4.329702513076019,2.569659381173633,5.376892766956929,5.751759941155627,3.0833470361057356,4.969573900354354,2.295845209591705,1.3604267120325382,2.4948994112292984,4.96194813945586,RAB11_profile
NR2C1_S215,6.493415055969741,6.395637085797966,6.489306188845746,5.3020595351234165,5.093694816613706,4.414504414862258,6.54142623811467,6.233495655639549,4.056569631275902,1.9469831563586388,3.2773641141176757,3.5453655721240165,3.193982919753682,1.8964492536475692,4.021600530955906,RAB11_profile
EIF5B_S137,4.756100035464522,4.013612864504655,5.359433812427571,6.196872591173577,5.93210785149901,6.083848441317671,5.32282888416013,3.51335813651961,4.04870467742026,5.6057047326993,5.594973054341019,5.9342821897135485,5.010575297810671,3.4974698479388024,0.44637522997853285,NA
TEX2_S196,5.48972077077215,5.5137999344337825,5.779764736274422,5.538478456551412,5.618277713776342,5.469164938261464,3.6599215827597944,0.18424437148313189,2.896182194962703,5.41704033655439,4.227465629690746,5.390826051105359,4.291389538820591,3.5124751125369444,4.631696344783017,NA
