Term,Adjusted.P.value,Genes
Colorectal cancer,0.009053599646699734,MAP2K2;APC;MAPK1;CTNNB1;EGFR;MAPK3
mTOR signaling pathway,0.009053599646699734,CLIP1;MAP2K2;SEH1L;RRAGC;RPS6;MAPK1;ULK1;MAPK3
Gastric cancer,0.00865721118629689,MAP2K2;APC;MAPK1;CTNNB1;MET;FGFR2;EGFR;MAPK3
Axon guidance,0.007748727014577716,ARHGEF12;SRC;DPYSL2;MAPK1;PLCG1;MET;EPHA2;NCK1;MAPK3
MAPK signaling pathway,0.0073064686576113464,MAP2K2;RRAS2;FLNA;HSPB1;MAPK1;FLNB;FLNC;MET;EGFR;FGFR2;EPHA2;MAPK3
Fatty acid biosynthesis,0.006108890575839188,FASN;ACSL4;ACACA
Hepatocellular carcinoma,0.005266899071234044,PBRM1;MAP2K2;APC;MAPK1;CTNNB1;PLCG1;MET;EGFR;MAPK3
HIF-1 signaling pathway,0.004878740849740293,MAP2K2;RPS6;PGK1;MAPK1;PLCG1;EGFR;MAPK3
RNA transport,0.004878740849740293,EIF5B;SEH1L;FXR2;ALYREF;EEF1A2;ACIN1;EIF2S2;RANGAP1;EIF4G1
Autophagy,0.0045747673653337585,MAP2K2;RRAGC;PRKCD;RRAS2;MAPK1;IRS2;ULK1;MAPK3
Bladder cancer,0.0032854793310108836,MAP2K2;SRC;MAPK1;EGFR;MAPK3
mRNA surveillance pathway,0.0032854793310108836,ALYREF;PAPOLA;CSTF2T;SYMPK;ACIN1;PPP2R5D;WDR33
Central carbon metabolism in cancer,0.0032854793310108836,MAP2K2;MAPK1;MET;EGFR;FGFR2;MAPK3
Thyroid hormone signaling pathway,0.0031216893674392556,NOTCH2;MED1;MAP2K2;SRC;MAPK1;CTNNB1;PLCG1;MAPK3
Endometrial cancer,0.002848699966055475,MAP2K2;APC;MAPK1;CTNNB1;EGFR;MAPK3
VEGF signaling pathway,0.002848699966055475,MAP2K2;SRC;HSPB1;MAPK1;PLCG1;MAPK3
ErbB signaling pathway,0.002848699966055475,MAP2K2;SRC;MAPK1;PLCG1;EGFR;NCK1;MAPK3
Bacterial invasion of epithelial cells,0.001623552831785136,SEPT9;CTTN;SRC;CTNNB1;MET;VCL;BCAR1
Regulation of actin cytoskeleton,0.0011353670177329043,MAP2K2;DIAPH3;ARHGEF12;APC;SRC;RRAS2;MAPK1;EGFR;VCL;FGFR2;BCAR1;MAPK3
Rap1 signaling pathway,9.12504306494363e-4,MAP2K2;SRC;CTNND1;CTNNB1;MAPK1;PLCG1;MET;EGFR;FGFR2;BCAR1;EPHA2;MAPK3
Focal adhesion,8.917170095004028e-4,SRC;FLNA;CTNNB1;MAPK1;FLNB;FLNC;MET;EGFR;VCL;BIRC2;BCAR1;MAPK3
Salmonella infection,8.917170095004028e-4,DYNC1LI1;KLC4;DYNC1H1;FLNA;MAPK1;FLNB;FLNC;MAPK3
Adherens junction,3.957009239740605e-4,SRC;CTNND1;MAPK1;CTNNB1;MET;VCL;EGFR;MAPK3
Spliceosome,3.1441587772111716e-5,HNRNPA3;HNRNPK;U2AF2;PRPF3;ALYREF;TRA2B;TRA2A;SRSF2;HNRNPU;ACIN1;SNRNP200;SRSF10
Proteoglycans in cancer,2.4041072211232015e-5,MAP2K2;ARHGEF12;SRC;RPS6;RRAS2;EGFR;CTTN;FLNA;CTNNB1;MAPK1;FLNB;PLCG1;FLNC;MET;MAPK3
