"","id","Majority protein IDs","Sequence length","Gene names","Protein names","Reverse","Potential contaminant","Fasta headers","Razor + unique peptides","Unique + razor sequence coverage [%]","Only identified by site","LFQ intensity R2M_GFPA_P_C_A_40_01","LFQ intensity R2M_GFPA_P_C_A_40_02","LFQ intensity R2M_GFPA_P_C_A_40_03","LFQ intensity R2M_GFPA_P_C_T_40_01","LFQ intensity R2M_GFPA_P_C_T_40_02","LFQ intensity R2M_GFPA_P_C_T_40_03","LFQ intensity R2M_GFPA_P_F_A_40_01","LFQ intensity R2M_GFPA_P_F_A_40_02","LFQ intensity R2M_GFPA_P_F_A_40_03","LFQ intensity R2M_GFPA_P_F_T_40_01","LFQ intensity R2M_GFPA_P_F_T_40_02","LFQ intensity R2M_GFPA_P_F_T_40_03","LFQ intensity R2M_R11A_P_F_A_40_01","LFQ intensity R2M_R11A_P_F_A_40_02","LFQ intensity R2M_R11A_P_F_A_40_03","LFQ intensity R2M_R11A_P_F_T_40_01","LFQ intensity R2M_R11A_P_F_T_40_02","LFQ intensity R2M_R11A_P_F_T_40_03","LFQ intensity R2A_R11G_P_C_A_40_01","LFQ intensity R2A_R11G_P_C_A_40_02","LFQ intensity R2A_R11G_P_C_A_40_03","LFQ intensity R2A_R11G_P_C_T_40_01","LFQ intensity R2A_R11G_P_C_T_40_02","LFQ intensity R2A_R11G_P_C_T_40_03","LFQ intensity R2A_R11G_P_F_A_40_01","LFQ intensity R2A_R11G_P_F_A_40_02","LFQ intensity R2A_R11G_P_F_A_40_03","LFQ intensity R2A_R11G_P_F_T_40_01","LFQ intensity R2A_R11G_P_F_T_40_02","LFQ intensity R2A_R11G_P_F_T_40_03"
"1",0,"A0A024QZX5",380,"SERPINB6","Serpin B6","","","tr|A0A024QZX5|A0A024QZX5_HUMAN Isoform of P35237, SERPIN domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A087X1N8|A0A087X1N8_HUMAN Isoform of P35237, SERPIN domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=S",21,62.9,"",8.34274903102676,8.36688931701057,8.34836821100868,8.3382348616054,8.40669561246846,8.42513587316895,8.28845871045325,8.33159852739609,8.33382850300413,8.44600471252868,8.31589767075895,8.4143705804703,8.24058660866593,8.23768405179296,8.21017518935643,8.43748689125919,8.48599298958634,8.54425257559082,8.44807112332654,8.4611904401567,8.45946559675896,8.38893987636821,8.39233444718432,8.38684175457123,8.4728578060347,8.49860554007911,8.44469848490882,8.33769877448619,8.34234010825049,8.33822514666031
"2",1,"A0A024R4E5",1268,"HDLBP","","","","tr|A0A024R4E5|A0A024R4E5_HUMAN Isoform of Q00341, High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens (Human) OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Isoform of Q00341, Vigilin (Fragment) OS=Homo sapiens (Human) OX=9",64,55.1,"",8.92398955228822,8.91653273323197,8.94788771390679,8.7794148444738,8.84357520209299,8.78958221597176,8.96372567850849,8.96941390323976,8.9530390869733,8.83808315559039,8.82530814374125,8.82290743071698,9.11767060401945,9.05731006519465,9.08210148732477,8.90596936371712,8.84310776034858,8.79727024200066,8.9898678287696,8.99938227356115,9.01293270423431,8.9089696872452,8.98219035355622,8.9238019418671,8.96908421926992,9.05861357518149,9.04691147710649,8.92986174966956,8.94670041076114,8.98950601464711
"3",4,"A0A024RA52",234,"PSMA2","Proteasome subunit alpha type","","","tr|A0A024RA52|A0A024RA52_HUMAN Isoform of P25787, Proteasome subunit alpha type OS=Homo sapiens (Human) OX=9606 GN=PSMA2 PE=1 SV=1;sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens (Human) OX=9606 GN=PSMA2 PE=1 SV=2;tr|C9JCK5|C9JCK5_HUMA",18,76.5,"",8.01208315068025,7.90242487057766,7.94967769526278,8.54712166262657,8.57679000589149,8.64137805469057,7.79500305971697,7.77780139918834,7.58075839417953,8.63162647290048,8.63182733867167,8.5908272306503,7.88010784499873,7.78871997255688,7.86859081794446,8.64399154044773,8.69008744340576,8.62314069418306,8.48081682956701,8.47476557961552,8.44470777447292,8.69091383956852,8.70322324539576,8.71968866296687,8.42199042397536,8.37555951120894,8.38305954188617,8.73576212258899,8.75935768874067,8.76317243641306
"4",5,"A0A024RAC6",772,"TCEB3","Transcription elongation factor B polypeptide 3","","","tr|A0A024RAC6|A0A024RAC6_HUMAN Isoform of Q14241, Elongin-A OS=Homo sapiens (Human) OX=9606 GN=ELOA PE=1 SV=1;sp|Q14241|ELOA1_HUMAN Elongin-A OS=Homo sapiens (Human) OX=9606 GN=ELOA PE=1 SV=2",6,9.5,"",NA,NA,NA,6.52999350716101,6.42855458472271,6.49711034651753,NA,NA,NA,6.54173867491863,6.46881746673752,6.35147133349953,NA,NA,NA,6.47666779115571,6.55127356248681,6.46377211758511,NA,NA,6.34277299748649,6.41459004833228,6.60685444819388,6.58640931704981,6.3270813685032,NA,NA,6.54288265016207,6.60227574247172,6.67171173022144
"5",7,"E9PRM7",326,"SLC22A18","Solute carrier family 22 member 18","","","tr|E9PRM7|E9PRM7_HUMAN Isoform of Q96BI1, Solute carrier family 22 member 18 OS=Homo sapiens (Human) OX=9606 GN=SLC22A18 PE=1 SV=1;tr|A0A0J9YWM3|A0A0J9YWM3_HUMAN Isoform of Q96BI1, Solute carrier family 22 member 18 OS=Homo sapiens (Human) OX=9606 GN=SLC22",2,5.8,"",7.11356099301004,NA,NA,7.7328710275855,NA,7.55930846414736,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.81082097221068,7.81235319144647,NA,NA,NA,NA,7.37356003919084,7.53124115495818,7.4058302994792,6.80227997782941,7.05748792982272,6.98683860981013,NA,7.34871529517711,6.66773538862003
"6",8,"A0A024RCL3",235,"MICA","MHC class I polypeptide-related sequence A","","","tr|A0A024RCL3|A0A024RCL3_HUMAN Isoform of Q29983, Ig-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=MICA PE=1 SV=1;tr|Q96QC4|Q96QC4_HUMAN Isoform of Q29983, Ig-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=MICA PE=1 S",4,14.9,"",NA,NA,NA,6.90525089909818,6.70151462764401,6.66544751148386,NA,NA,NA,6.8436450978656,6.80062357963205,6.85908720422744,NA,NA,NA,6.4351891418635,6.40881827167812,6.4312544644079,6.83008069673207,6.83956534586356,6.82282135822296,6.87764005234313,6.671544677985,6.85655590968462,NA,6.71968592250756,6.57837347270987,6.94882184398455,6.84542073909191,6.81072675537378
"7",9,"G8JLL2",180,"PPT2","Lysosomal thioesterase PPT2","","","tr|G8JLL2|G8JLL2_HUMAN Isoform of Q9UMR5, Lysosomal thioesterase PPT2 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=PPT2 PE=1 SV=1;tr|A0A0G2JK02|A0A0G2JK02_HUMAN Isoform of Q9UMR5, Lysosomal thioesterase PPT2 OS=Homo sapiens (Human) OX=9606 GN=PPT2 PE=1 SV",3,17.2,"",NA,NA,NA,6.45802907488094,6.79494964773504,6.86415728698437,NA,NA,NA,6.74705405356384,6.86672383988894,6.85232316791122,NA,6.45733012202295,NA,6.86941245138139,6.9051457168495,6.88892312449446,NA,6.16819014353651,6.08909282595766,6.68044672411084,6.73942891656716,6.82136803896305,NA,NA,6.54454428195302,6.76770577458952,6.84431923628961,6.84946167179497
"8",10,"A0A024RCR6",1126,"BAT3","Large proline-rich protein BAG6","","","tr|A0A024RCR6|A0A024RCR6_HUMAN Isoform of P46379, Ubiquitin-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Isoform of P46379, Ubiquitin-like domain-containing protein OS=Homo sapiens (Human)",34,38.8,"",7.58842124925464,7.60788321662599,7.57066929925627,7.94232879437001,7.92638444326141,7.97018325727584,7.50558392226634,7.3696102328271,7.46105790753493,7.92518014477967,8.01006295157042,7.92932763076703,7.72504788230441,7.67528841262732,7.74322323541111,8.04446799192919,8.07060620578812,8.05553616407563,7.84404060816333,7.84732802644063,7.81653670349904,7.86707407591037,7.92200684211982,7.90157248155329,7.8148720678492,7.8430924973435,7.83618482303664,7.96553377515506,7.94778250068474,7.98558313886341
"9",12,"A0A075B6E4",290,"VGLL4","Transcription cofactor vestigial-like protein 4","","","tr|A0A075B6E4|A0A075B6E4_HUMAN Isoform of Q14135, Transcription cofactor vestigial-like protein 4 OS=Homo sapiens (Human) OX=9606 GN=VGLL4 PE=1 SV=1;tr|A0A0A6YYI5|A0A0A6YYI5_HUMAN Isoform of Q14135, Transcription cofactor vestigial-like protein 4 OS=Homo s",5,31.4,"",NA,NA,NA,6.38596987440579,NA,NA,NA,NA,NA,6.6200730179024,6.30982440432708,6.28031679024906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",14,"A0A5H1ZRS9",102,"IGKV A18","Ig kappa chain V-II region RPMI 6410","","","tr|A0A5H1ZRS9|A0A5H1ZRS9_HUMAN Isoform of A0A075B6S2, Ig-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=IGKV2D-29 PE=1 SV=1;sp|A2NJV5|KV229_HUMAN Immunoglobulin kappa variable 2-29 OS=Homo sapiens (Human) OX=9606 GN=IGKV2-29 PE=3 SV=2;sp",2,19.6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22686342900654,NA,NA,NA,NA,NA,NA,NA,NA,NA
