Gene names,id,Majority protein IDs,Sequence length,Protein names,Reverse,Potential contaminant,Fasta headers,Razor + unique peptides,Unique + razor sequence coverage [%],Only identified by site,R2M_GFPA_C_A_01,R2M_GFPA_C_A_02,R2M_GFPA_C_A_03,R2M_GFPA_C_T_01,R2M_GFPA_C_T_02,R2M_GFPA_C_T_03,R2M_GFPA_F_A_01,R2M_GFPA_F_A_02,R2M_GFPA_F_A_03,R2M_GFPA_F_T_01,R2M_GFPA_F_T_02,R2M_GFPA_F_T_03,R2M_R11A_F_A_01,R2M_R11A_F_A_02,R2M_R11A_F_A_03,R2M_R11A_F_T_01,R2M_R11A_F_T_02,R2M_R11A_F_T_03,R2A_R11G_C_A_01,R2A_R11G_C_A_02,R2A_R11G_C_A_03,R2A_R11G_C_T_01,R2A_R11G_C_T_02,R2A_R11G_C_T_03,R2A_R11G_F_A_01,R2A_R11G_F_A_02,R2A_R11G_F_A_03,R2A_R11G_F_T_01,R2A_R11G_F_T_02,R2A_R11G_F_T_03,cl_name
A2M,2984,P01023,1474,Alpha-2-macroglobulin,,,sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens (Human) OX=9606 GN=A2M PE=1 SV=3,9,8.4,,6.339556543963778,6.306305498398245,6.366517732989048,6.9940849174161475,6.889890359028087,6.805658320494381,4.220799774983533,3.995752896038595,4.797631709634791,6.822950129817649,6.927840203449698,6.984032137457395,5.198437306681679,4.065228267773673,5.19200727642216,5.905438150023755,3.8868382470003935,6.438988405253062,5.434007660546043,5.772830826748359,5.3137351744599455,6.45292154281736,6.46988075661618,6.40955088655196,7.419975426948622,7.337021660254312,7.281095131788505,6.7497115891858614,6.722171702361291,6.5631498388027865,FGFR2_F_unique
AAAS,7715,Q9NRG9,546,Aladin,,,"sp|Q9NRG9|AAAS_HUMAN Aladin OS=Homo sapiens (Human) OX=9606 GN=AAAS PE=1 SV=1;sp|Q9NRG9-2|AAAS-2_HUMAN Isoform of Q9NRG9, Isoform 2 of Aladin OS=Homo sapiens (Human) OX=9606 GN=AAAS PE=1 SV=1;tr|F8VZ44|F8VZ44_HUMAN Isoform of Q9NRG9, WD_REPEATS_REGION doma",18,46.5,,7.92769652658471,7.917880082526941,7.9279009752830785,7.634160854339987,7.649928933171614,7.629891696971904,7.811617758609184,7.891832487635118,7.942790050596994,7.684205689229661,7.472785371164236,7.5385133707912635,7.957435173915723,7.994439822258672,7.945718151647986,7.781194614652438,7.7234966668819025,7.85297562161616,7.889688677183245,7.870774138119032,7.7729586934694765,7.7461327670124165,7.571244204145685,7.804966232610064,7.8500534547624605,7.6983307520635424,7.690153520484398,7.560746610448744,7.672978239546901,7.6794570920908845,RAB11_unique
AACS,5842,Q86V21,672,Acetoacetyl-CoA synthetase,,,"sp|Q86V21|AACS_HUMAN Acetoacetyl-CoA synthetase OS=Homo sapiens (Human) OX=9606 GN=AACS PE=1 SV=1;sp|Q86V21-2|AACS-2_HUMAN Isoform of Q86V21, Isoform 2 of Acetoacetyl-CoA synthetase OS=Homo sapiens (Human) OX=9606 GN=AACS PE=1 SV=1;sp|Q86V21-3|AACS-3_HUMAN",18,27.1,,7.902780480774554,7.933994470312263,7.947958179454414,7.6844046049530785,7.649107461583973,7.684677446558008,7.939964065518139,7.872924648760106,7.946498486550556,7.677024862632722,7.7026969746724285,7.722249901557786,8.051193535278065,8.090019542563855,8.046332239627603,7.885168941250343,7.837276545980334,7.799483236189429,7.685709001552767,7.705985943555825,7.641243495622768,7.700890071167319,7.699741087183434,7.7242707854276285,7.713028113631413,7.784197438418289,7.806046684223949,7.684892172081738,7.674912496726384,7.676126329399918,RE_Profile
AAK1,5115,Q2M2I8-2,863,AP2-associated protein kinase 1,,,"sp|Q2M2I8-2|AAK1-2_HUMAN Isoform of Q2M2I8, Isoform 2 of AP2-associated protein kinase 1 OS=Homo sapiens (Human) OX=9606 GN=AAK1 PE=1 SV=3;sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens (Human) OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG",25,43,,7.694453863065912,7.725791992108518,7.731388693822484,7.054181906446001,7.2419513509346745,7.25562721498241,7.725920331026023,7.718201506765023,7.7489706511147665,7.09479258164629,7.11088602256872,7.1869490562064895,7.672866516751129,7.63637234498298,7.5951402499119185,7.281663557234482,7.221925632238153,7.1882403346417645,7.325797614378877,7.410503924452131,7.352597776444385,7.156388093564825,7.146764835844682,7.165119073194238,7.359990085892003,7.399111768731749,7.452692801621573,7.1082477200194,7.159083550600395,7.145770239789162,RE_Profile
AAK1,186,A0A096LP25,511,Uncharacterized protein FLJ45252,,,"tr|A0A096LP25|A0A096LP25_HUMAN Isoform of Q2M2I8, AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens (Human) OX=9606 GN=- PE=2 SV=2",11,32.1,,7.505627983567359,7.552335412845025,7.525649791764321,6.900238147582074,6.991083813841675,7.017366925388626,7.55277820410738,7.533887142843933,7.521086096024619,6.851166312081469,6.979135190429937,6.915467177126097,7.581232594444794,7.503548010681327,7.5373724430124485,7.062067679454756,6.928863867201167,6.934136642739649,7.049093385948099,7.085416158743194,7.118399741785758,6.819418910335236,6.859679113890955,6.863428033414834,7.192294835150149,7.223995068434552,7.079832460441331,6.832905450100989,6.965811517777055,6.98248300774208,RE_Profile
AAMP,1112,C9JG97,415,Angio-associated migratory cell protein,,,"tr|C9JG97|C9JG97_HUMAN Isoform of Q13685, WD_REPEATS_REGION domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=AAMP PE=1 SV=1;tr|C9JEH3|C9JEH3_HUMAN Isoform of Q13685, WD_REPEATS_REGION domain-containing protein OS=Homo sapiens (Human) OX=9606 GN",9,27.7,,6.475719682420757,6.757180720108287,5.042995462434248,7.355288784599108,7.557457833371335,7.512840768946576,5.897825000190566,5.239001837865221,6.410844435942657,7.48260632335778,7.486784453857033,7.542867864453699,5.263571800057836,4.801593369801431,4.8809823253688975,7.2204374325864,7.27663441203195,7.288034756148191,6.8285749839016985,6.7709206201311005,6.998821073211432,7.615424411679091,7.483194299030864,7.505013266432185,6.89695618684951,7.054520299115086,6.928519955671705,7.486407461596435,7.5859510363548015,7.606458224841715,Receptor_profile
AATF,7896,Q9NY61,560,Protein AATF,,,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens (Human) OX=9606 GN=AATF PE=1 SV=1,16,38.2,,6.608300291385932,6.450446945109178,6.611184398235274,7.119028930874468,7.203291523813605,7.228235416905816,5.914769860985063,6.439628652687999,3.068754080649408,7.146516066419722,7.0862825862851855,7.213322209315732,6.336731916431879,6.510274227662845,6.513605430183466,7.383663000647636,7.347654969851491,7.384913286149566,7.00571921932466,7.083853831885822,6.995294355951673,7.4167633025210975,7.468909719220229,7.443799742560003,7.116046633632245,7.2435710364797234,7.139694312167324,7.518359193107881,7.486203231422413,7.673854245249478,FGFR2_F_unique
ABCA3,1772,H0Y3H2,1646,ATP-binding cassette sub-family A member 3,,,"tr|H0Y3H2|H0Y3H2_HUMAN Isoform of Q99758, ATP-binding cassette sub-family A member 3 OS=Homo sapiens (Human) OX=9606 GN=ABCA3 PE=1 SV=1;sp|Q99758|ABCA3_HUMAN ATP-binding cassette sub-family A member 3 OS=Homo sapiens (Human) OX=9606 GN=ABCA3 PE=1 SV=2",23,17.2,,7.462071175907308,7.476270790807666,7.550636454828805,7.329619465111529,7.363643259392523,7.331257751920883,7.435354258956498,7.464830291737725,7.475530420630177,7.341704690092893,7.436070240323991,7.283850470054549,7.049272072368739,7.234115989053773,7.197186485594967,7.482613163046063,7.427367781678735,7.491719969495582,7.383027814356127,7.412729712763041,7.368713957437813,7.455938255174011,7.536565188100785,7.526626225907399,7.50409689861948,7.522086153215647,7.510448885546448,7.4348011602553825,7.489692051109917,7.463442606013711,FGFR2_F_unique
ABCB10,7718,Q9NRK6,738,"ATP-binding cassette sub-family B member 10, mitochondrial",,,"sp|Q9NRK6|ABCBA_HUMAN ATP-binding cassette sub-family B member 10, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ABCB10 PE=1 SV=2",18,30.1,,7.480967335439402,7.516269551307951,7.491406022105685,7.273130251631724,7.207265727712021,7.178633955417658,7.5518383119752,7.3719345573877915,7.489350306997312,7.226921274997568,7.307538171076618,7.286622367725279,7.115723924355994,7.087595136750469,6.991471271344568,7.122462316772017,7.071198555725734,7.086046083862588,7.426840421112559,7.354136970041462,7.306602101455071,7.310401290195979,7.038056535507085,7.295652657930008,7.4768579758842515,7.2794086377592375,7.251853740033956,7.248555876917242,7.1223757840642445,7.115453207744685,Receptor_profile
ABCD1,3674,P33897,745,ATP-binding cassette sub-family D member 1,,,sp|P33897|ABCD1_HUMAN ATP-binding cassette sub-family D member 1 OS=Homo sapiens (Human) OX=9606 GN=ABCD1 PE=1 SV=2,15,25,,7.554255686342813,7.525800231502701,7.5326326034220665,7.503892844849961,7.440091708568742,7.3982461926611895,7.48482948302992,7.537393159889305,7.442432818390482,7.368328007176933,7.440246966732965,7.459474560884271,7.017015263945009,7.04372725410915,7.084740649614367,7.3036669531432326,7.244719657460166,7.390508325892826,6.79056832309611,6.931725928622998,6.767316528638423,7.406639969813086,7.363123104108423,7.369131628994559,7.148086518971995,7.256998153561626,7.2920780202628155,7.452797968354745,7.271682139411299,7.375224718691109,FGFR2_F_unique
