id,Majority protein IDs,Gene names,Protein names,Reverse,Potential contaminant,Fasta headers,Only identified by site,FGFR2-APEX_UT_Proximal_R1,FGFR2-APEX_UT_Proximal_R2,FGFR2-APEX_UT_Proximal_R3,FGFR2-APEX_UT_Global_R1,FGFR2-APEX_UT_Global_R2,FGFR2-APEX_UT_Global_R3,FGFR2-APEX_FGF10_Proximal_R1,FGFR2-APEX_FGF10_Proximal_R2,FGFR2-APEX_FGF10_Proximal_R3,FGFR2-APEX_FGF10_Global_R1,FGFR2-APEX_FGF10_Global_R2,FGFR2-APEX_FGF10_Global_R3,GFP-APEX_UT_Proximal_R1,GFP-APEX_UT_Proximal_R2,GFP-APEX_UT_Proximal_R3,GFP-APEX_UT_Global_R1,GFP-APEX_UT_Global_R2,GFP-APEX_UT_Global_R3,GFP-APEX_FGF10_Proximal_R1,GFP-APEX_FGF10_Proximal_R2,GFP-APEX_FGF10_Proximal_R3,GFP-APEX_FGF10_Global_R1,GFP-APEX_FGF10_Global_R2,GFP-APEX_FGF10_Global_R3,RAB11-APEX_FGF10_Proximal_R1,RAB11-APEX_FGF10_Proximal_R2,RAB11-APEX_FGF10_Proximal_R3,RAB11-APEX_FGF10_Global_R1,RAB11-APEX_FGF10_Global_R2,RAB11-APEX_FGF10_Global_R3,FGFR2-APEX_UT_Proximal_medianNormalised,FGFR2-APEX_FGF10_Proximal_medianNormalised,RAB11-APEX_FGF10_Proximal_medianNormalised,Regulated
0,A0A024QZX5,SERPINB6,Serpin B6,NA,NA,"tr|A0A024QZX5|A0A024QZX5_HUMAN Isoform of P35237, SERPIN domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A087X1N8|A0A087X1N8_HUMAN Isoform of P35237, SERPIN domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=S",NA,8.448071123326535,8.4611904401567,8.459465596758964,8.388939876368207,8.392334447184323,8.386841754571225,8.4728578060347,8.498605540079108,8.444698484908821,8.337698774486192,8.342340108250488,8.338225146660308,8.342749031026756,8.366889317010575,8.348368211008681,8.3382348616054,8.406695612468463,8.425135873168951,8.288458710453245,8.331598527396087,8.333828503004128,8.446004712528683,8.315897670758954,8.4143705804703,8.240586608665932,8.237684051792964,8.21017518935643,8.43748689125919,8.485992989586341,8.54425257559082,0.4544898084950283,0.6920370223020108,-1.1465268307970462,
4,A0A024RA52,PSMA2,Proteasome subunit alpha type,NA,NA,"tr|A0A024RA52|A0A024RA52_HUMAN Isoform of P25787, Proteasome subunit alpha type OS=Homo sapiens (Human) OX=9606 GN=PSMA2 PE=1 SV=1;sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens (Human) OX=9606 GN=PSMA2 PE=1 SV=2;tr|C9JCK5|C9JCK5_HUMA",NA,8.480816829567011,8.474765579615516,8.444707774472917,8.690913839568523,8.703223245395757,8.719688662966872,8.421990423975355,8.375559511208941,8.383059541886173,8.735762122588994,8.759357688740668,8.763172436413058,8.01208315068025,7.9024248705776605,7.949677695262778,8.547121662626566,8.57679000589149,8.641378054690573,7.795003059716975,7.777801399188338,7.580758394179533,8.631626472900482,8.631827338671666,8.590827230650296,7.880107844998734,7.788719972556875,7.86859081794446,8.643991540447733,8.690087443405758,8.623140694183055,0.4025293455936602,0.7360066830291947,-1.138536028622855,
7,E9PRM7,SLC22A18,Solute carrier family 22 member 18,NA,NA,"tr|E9PRM7|E9PRM7_HUMAN Isoform of Q96BI1, Solute carrier family 22 member 18 OS=Homo sapiens (Human) OX=9606 GN=SLC22A18 PE=1 SV=1;tr|A0A0J9YWM3|A0A0J9YWM3_HUMAN Isoform of Q96BI1, Solute carrier family 22 member 18 OS=Homo sapiens (Human) OX=9606 GN=SLC22",NA,3.904861643315875,4.276158576455515,5.076725499023131,7.373560039190844,7.531241154958178,7.405830299479201,6.802279977829405,7.057487929822716,6.986838609810131,5.67321970412434,7.34871529517711,6.667735388620026,7.113560993010039,5.871450234988498,4.875408986675013,7.732871027585505,4.56980105644985,7.559308464147365,5.374617619851244,3.3240984399716567,5.337623130124975,6.048051369322109,6.086928091923227,5.692990083828938,5.331994520494072,4.944478673925016,5.961987773539141,7.810820972210681,7.8123531914464674,4.375375420219383,-0.976642884576386,1.021825431968436,-0.04518254739204979,+
8,A0A024RCL3,MICA,MHC class I polypeptide-related sequence A,NA,NA,"tr|A0A024RCL3|A0A024RCL3_HUMAN Isoform of Q29983, Ig-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=MICA PE=1 SV=1;tr|Q96QC4|Q96QC4_HUMAN Isoform of Q29983, Ig-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=MICA PE=1 S",NA,6.830080696732072,6.839565345863561,6.82282135822296,6.877640052343127,6.671544677984995,6.856555909684619,4.151785598384393,6.719685922507565,6.578373472709868,6.948821843984551,6.845420739091911,6.810726755373784,6.162844967111666,3.719281503062864,4.806371729114284,6.905250899098185,6.701514627644007,6.6654475114838565,5.3817486866906155,2.64065356729283,5.436795695432587,6.843645097865602,6.80062357963205,6.859087204227438,2.685882005718065,4.531533807695739,5.067212830249232,6.435189141863502,6.408818271678123,6.431254464407898,0.8811058104971063,0.2057747307312008,-1.0868805412283078,+
10,A0A024RCR6,BAT3,Large proline-rich protein BAG6,NA,NA,"tr|A0A024RCR6|A0A024RCR6_HUMAN Isoform of P46379, Ubiquitin-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Isoform of P46379, Ubiquitin-like domain-containing protein OS=Homo sapiens (Human)",NA,7.844040608163329,7.847328026440626,7.816536703499039,7.867074075910371,7.922006842119823,7.901572481553287,7.814872067849205,7.8430924973434974,7.8361848230366355,7.965533775155056,7.947782500684736,7.985583138863407,7.58842124925464,7.607883216625992,7.570669299256274,7.942328794370011,7.92638444326141,7.970183257275838,7.505583922266341,7.3696102328271005,7.461057907534935,7.925180144779671,8.010062951570424,7.929327630767032,7.725047882304412,7.675288412627321,7.743223235411111,8.044467991929187,8.070606205788117,8.055536164075635,-0.6677896469524093,1.14970285271309,-0.4819132057607049,
22,E9PIR7,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",NA,NA,"tr|E9PIR7|E9PIR7_HUMAN Isoform of Q16881, Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens (Human) OX=9606 GN=TXNRD1 PE=1 SV=1;tr|F8W809|F8W809_HUMAN Isoform of Q16881, Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens (Human) OX=9606 GN=TXNRD1 PE=1",NA,8.130722002365221,8.075161013305355,7.945250215384873,8.544151731152185,8.387872491350887,8.651074045709104,8.045237717231434,8.048396844693537,7.93915576772464,8.49665268870012,8.512308513608785,8.467198764480212,7.892412577669828,7.866639121120528,7.72035232473412,8.441350410113662,8.50324078881402,8.472920907898475,7.674935993063981,7.593691162032695,7.721649653490636,8.68433998465496,8.502298275223406,8.550009623020417,7.239117378054051,7.406846440499347,7.200930785200243,8.575038773270977,8.482258541978293,8.503415012734031,0.3700686400000414,0.7622179701879646,-1.132286610188012,
24,A0A087WT20,DCAF13,DDB1- and CUL4-associated factor 13,NA,NA,"tr|A0A087WT20|A0A087WT20_HUMAN Isoform of Q9NV06, WD_REPEATS_REGION domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=DCAF13 PE=1 SV=1;sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens (Human) OX=9606 GN=DCAF13 PE=1 SV=2;",NA,7.004632974005859,7.146724132231703,7.132558503991682,7.02807142646318,7.0811935907917,7.067012137446347,7.269490865703623,7.375553063076827,7.365839812546268,7.168702099437727,7.186726645724773,7.136271945104436,7.324671028374542,7.38897675241876,7.238666098308721,6.502952279051859,6.969702386502853,7.01342338913661,7.379202008351701,7.312976731632507,7.122643043858769,7.026315506356797,6.7450459430510445,6.989538854284533,6.999084201025959,7.10206447545764,7.131508820754429,6.892430406394033,6.86764586872241,6.9104724061254785,-0.5111811718369925,1.1522624083649895,-0.6410812365280028,
25,A0A087WT45,GRIPAP1,GRIP1-associated protein 1,NA,NA,"tr|A0A087WT45|A0A087WT45_HUMAN Isoform of Q4V328, GRIP1-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=GRIPAP1 PE=1 SV=1;sp|Q4V328|GRAP1_HUMAN GRIP1-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=GRIPAP1 PE=1 SV=2;sp|Q4V328-4|GRAP1-4_HUMA",NA,6.760411633006967,6.7215467555340105,6.587263063076396,7.140922936789979,7.340159444225393,7.166358778744441,6.705436033736895,6.6467572859943225,6.629446000500338,7.336210501102717,7.294141746982059,7.339646360091027,6.786153556636853,6.397088836230806,6.690197092389791,7.55998150538575,7.507225538791539,7.363490442084756,6.049784516972443,3.5566412051585727,6.450205546665794,7.491792248266259,7.577678479647836,7.527503635389464,6.574828301091987,6.18975464316934,6.837374942256431,7.358700433308924,7.439630584344258,7.470587129438731,-1.1468845822695324,0.6895965687758855,0.45728801349364695,+
33,A0A087WVR3,UHRF1,E3 ubiquitin-protein ligase UHRF1,NA,NA,"tr|A0A087WVR3|A0A087WVR3_HUMAN Isoform of Q96T88, E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens (Human) OX=9606 GN=UHRF1 PE=1 SV=1;tr|A0A087WTW0|A0A087WTW0_HUMAN Isoform of Q96T88, E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens (Human) OX=9606 GN=UH",NA,7.737274326224443,7.74375176522515,7.719478807912405,7.69797482746919,7.724890948300927,7.6749242822743184,7.533348136184537,7.514588442177245,7.456419578422748,7.597789453924988,7.640453413637171,7.674240487490313,7.73949554189477,7.715630380751949,7.734586685492984,7.643293244100798,7.6656505184283805,7.674124429393372,7.442133986005064,7.453558605475576,7.54473900142163,7.705469673038309,7.619131309483332,7.72263254668,7.714971714736546,7.832592519081883,7.768990023609192,7.712692297423018,7.722293418437655,7.725493516892036,-0.7440406315168699,-0.39270359127532795,1.1367442227921978,
38,A0A087WU53,MAGT1,Magnesium transporter protein 1,NA,NA,"tr|A0A087WU53|A0A087WU53_HUMAN Isoform of Q9H0U3, Magnesium transporter protein 1 OS=Homo sapiens (Human) OX=9606 GN=MAGT1 PE=1 SV=1;sp|Q9H0U3|MAGT1_HUMAN Magnesium transporter protein 1 OS=Homo sapiens (Human) OX=9606 GN=MAGT1 PE=1 SV=1",NA,7.644402612124326,7.723496199086619,7.709453514681189,7.339068912685539,7.315015132152714,7.365806494049602,7.78875247308517,7.849585356721054,7.846769067867412,7.252800513825841,7.230802287110738,7.473374020845363,8.080692607934262,8.187583952521324,8.043212674901971,7.677654030800234,7.64345413315987,7.573656608949903,7.992012006575479,8.030448354533645,7.931902814134817,7.649514671270368,7.696551735672151,7.569211732294202,7.595333583857228,7.648592092962378,7.582931636226101,7.42332273165232,7.3188475155331085,7.312071820901197,-0.4666451571676802,1.148025657713329,-0.6813805005456424,
